seat_id,event_id,seat_label,section,seat_price,seat_status,created_at
1,1,R01-S01,VIP,2158.2,AVAILABLE,2025-09-23 11:56:04
2,1,R01-S02,VIP,2158.2,AVAILABLE,2024-07-30 18:38:49
3,1,R01-S03,VIP,2158.2,SOLD,2025-04-19 15:30:12
4,1,R01-S04,VIP,2158.2,AVAILABLE,2025-11-04 21:47:09
5,1,R01-S05,VIP,2158.2,AVAILABLE,2024-02-20 08:54:55
6,1,R01-S06,VIP,2158.2,HELD,2025-08-21 20:19:43
7,1,R01-S07,VIP,2158.2,SOLD,2025-05-07 14:29:13
8,1,R01-S08,VIP,2158.2,AVAILABLE,2025-02-20 06:27:28
9,1,R01-S09,VIP,2158.2,AVAILABLE,2024-02-22 02:05:16
10,1,R01-S10,VIP,2158.2,AVAILABLE,2024-01-14 18:21:36
11,1,R01-S11,VIP,2158.2,AVAILABLE,2025-03-03 23:56:52
12,1,R01-S12,VIP,2158.2,AVAILABLE,2025-07-21 21:52:14
13,1,R01-S13,PREMIUM,1558.7,AVAILABLE,2025-04-22 05:08:53
14,1,R01-S14,PREMIUM,1558.7,AVAILABLE,2024-03-09 19:55:48
15,1,R01-S15,PREMIUM,1558.7,AVAILABLE,2024-09-29 09:10:40
16,1,R01-S16,PREMIUM,1558.7,AVAILABLE,2024-04-29 20:47:22
17,1,R01-S17,PREMIUM,1558.7,AVAILABLE,2025-06-10 11:18:44
18,1,R01-S18,PREMIUM,1558.7,SOLD,2025-11-16 02:37:21
19,1,R01-S19,PREMIUM,1558.7,AVAILABLE,2025-08-08 16:42:02
20,1,R01-S20,PREMIUM,1558.7,AVAILABLE,2025-07-04 15:37:00
21,1,R02-S01,PREMIUM,1558.7,SOLD,2024-12-07 01:30:47
22,1,R02-S02,PREMIUM,1558.7,AVAILABLE,2025-09-28 17:39:04
23,1,R02-S03,PREMIUM,1558.7,AVAILABLE,2025-02-11 05:24:17
24,1,R02-S04,PREMIUM,1558.7,SOLD,2024-11-14 10:40:47
25,1,R02-S05,PREMIUM,1558.7,AVAILABLE,2024-12-18 18:28:03
26,1,R02-S06,PREMIUM,1558.7,SOLD,2024-02-12 04:44:48
27,1,R02-S07,PREMIUM,1558.7,AVAILABLE,2024-02-10 14:00:53
28,1,R02-S08,PREMIUM,1558.7,AVAILABLE,2024-06-26 09:37:08
29,1,R02-S09,PREMIUM,1558.7,AVAILABLE,2024-02-20 20:31:23
30,1,R02-S10,PREMIUM,1558.7,AVAILABLE,2025-05-03 19:03:07
31,1,R02-S11,PREMIUM,1558.7,AVAILABLE,2024-05-09 02:09:50
32,1,R02-S12,PREMIUM,1558.7,AVAILABLE,2024-01-14 21:51:08
33,1,R02-S13,PREMIUM,1558.7,AVAILABLE,2025-10-29 17:50:06
34,1,R02-S14,PREMIUM,1558.7,AVAILABLE,2024-10-29 09:17:16
35,1,R02-S15,PREMIUM,1558.7,AVAILABLE,2025-08-20 11:20:21
36,1,R02-S16,PREMIUM,1558.7,AVAILABLE,2025-10-14 19:57:52
37,1,R02-S17,PREMIUM,1558.7,AVAILABLE,2025-11-29 08:27:19
38,1,R02-S18,PREMIUM,1558.7,AVAILABLE,2024-05-27 01:56:23
39,1,R02-S19,PREMIUM,1558.7,SOLD,2024-06-11 13:04:36
40,1,R02-S20,PREMIUM,1558.7,AVAILABLE,2025-02-05 20:42:45
41,1,R03-S01,PREMIUM,1558.7,AVAILABLE,2025-08-11 21:03:39
42,1,R03-S02,PREMIUM,1558.7,AVAILABLE,2025-11-01 00:41:03
43,1,R03-S03,PREMIUM,1558.7,SOLD,2025-09-23 13:27:42
44,1,R03-S04,PREMIUM,1558.7,AVAILABLE,2024-03-04 19:06:13
45,1,R03-S05,STANDARD,1199.0,SOLD,2025-11-16 19:49:38
46,1,R03-S06,STANDARD,1199.0,AVAILABLE,2024-08-17 21:47:17
47,1,R03-S07,STANDARD,1199.0,AVAILABLE,2025-04-11 17:39:33
48,1,R03-S08,STANDARD,1199.0,AVAILABLE,2024-02-12 09:05:57
49,1,R03-S09,STANDARD,1199.0,SOLD,2024-11-07 07:29:02
50,1,R03-S10,STANDARD,1199.0,AVAILABLE,2024-12-29 19:25:47
51,1,R03-S11,STANDARD,1199.0,SOLD,2025-08-28 12:56:45
52,1,R03-S12,STANDARD,1199.0,AVAILABLE,2025-02-22 20:42:04
53,1,R03-S13,STANDARD,1199.0,AVAILABLE,2025-11-25 12:07:42
54,1,R03-S14,STANDARD,1199.0,SOLD,2024-12-22 20:43:09
55,1,R03-S15,STANDARD,1199.0,SOLD,2025-01-10 23:47:25
56,1,R03-S16,STANDARD,1199.0,SOLD,2024-08-29 23:46:36
57,1,R03-S17,STANDARD,1199.0,AVAILABLE,2024-03-12 14:08:51
58,1,R03-S18,STANDARD,1199.0,AVAILABLE,2024-04-13 01:12:15
59,1,R03-S19,STANDARD,1199.0,AVAILABLE,2024-11-22 20:39:48
60,1,R03-S20,STANDARD,1199.0,AVAILABLE,2025-01-12 08:15:12
61,1,R04-S01,STANDARD,1199.0,AVAILABLE,2025-07-31 22:05:11
62,1,R04-S02,STANDARD,1199.0,AVAILABLE,2024-07-01 03:24:43
63,1,R04-S03,STANDARD,1199.0,AVAILABLE,2024-03-27 03:10:29
64,1,R04-S04,STANDARD,1199.0,AVAILABLE,2025-04-10 04:21:48
65,1,R04-S05,STANDARD,1199.0,SOLD,2025-12-13 17:02:51
66,1,R04-S06,STANDARD,1199.0,SOLD,2024-11-25 07:53:36
67,1,R04-S07,STANDARD,1199.0,AVAILABLE,2024-09-29 08:58:31
68,1,R04-S08,STANDARD,1199.0,AVAILABLE,2025-01-24 17:59:33
69,1,R04-S09,STANDARD,1199.0,AVAILABLE,2024-06-06 12:52:49
70,1,R04-S10,STANDARD,1199.0,AVAILABLE,2024-10-22 12:16:30
71,1,R04-S11,STANDARD,1199.0,AVAILABLE,2024-09-10 19:56:19
72,1,R04-S12,STANDARD,1199.0,AVAILABLE,2024-09-30 14:08:04
73,1,R04-S13,STANDARD,1199.0,AVAILABLE,2024-04-13 13:40:35
74,1,R04-S14,STANDARD,1199.0,AVAILABLE,2024-10-01 22:04:28
75,1,R04-S15,STANDARD,1199.0,AVAILABLE,2024-03-20 13:51:38
76,1,R04-S16,STANDARD,1199.0,AVAILABLE,2025-05-12 12:59:24
77,1,R04-S17,STANDARD,1199.0,AVAILABLE,2024-02-17 19:48:56
78,1,R04-S18,STANDARD,1199.0,AVAILABLE,2025-08-08 11:19:20
79,1,R04-S19,STANDARD,1199.0,AVAILABLE,2025-08-23 17:45:43
80,1,R04-S20,STANDARD,1199.0,AVAILABLE,2025-10-03 09:01:46
81,1,R05-S01,STANDARD,1199.0,AVAILABLE,2025-09-24 21:44:51
82,1,R05-S02,STANDARD,1199.0,HELD,2024-10-23 12:30:04
83,1,R05-S03,STANDARD,1199.0,AVAILABLE,2025-07-31 18:34:54
84,1,R05-S04,STANDARD,1199.0,AVAILABLE,2024-03-05 06:24:05
85,1,R05-S05,STANDARD,1199.0,AVAILABLE,2024-12-28 06:50:22
86,1,R05-S06,STANDARD,1199.0,AVAILABLE,2025-02-07 03:25:14
87,1,R05-S07,STANDARD,1199.0,AVAILABLE,2024-07-30 01:36:58
88,1,R05-S08,STANDARD,1199.0,AVAILABLE,2025-02-21 16:59:30
89,1,R05-S09,STANDARD,1199.0,AVAILABLE,2024-10-16 02:40:03
90,1,R05-S10,STANDARD,1199.0,AVAILABLE,2024-09-03 05:50:29
91,1,R05-S11,STANDARD,1199.0,HELD,2025-07-13 17:08:30
92,1,R05-S12,STANDARD,1199.0,AVAILABLE,2025-01-15 19:12:47
93,1,R05-S13,STANDARD,1199.0,AVAILABLE,2025-09-25 11:30:58
94,1,R05-S14,STANDARD,1199.0,AVAILABLE,2025-03-15 07:23:25
95,1,R05-S15,STANDARD,1199.0,SOLD,2025-12-23 05:11:36
96,1,R05-S16,STANDARD,1199.0,AVAILABLE,2024-02-29 03:32:54
97,1,R05-S17,STANDARD,1199.0,SOLD,2025-03-06 15:04:19
98,1,R05-S18,STANDARD,1199.0,SOLD,2024-09-23 23:05:16
99,1,R05-S19,STANDARD,1199.0,AVAILABLE,2025-11-28 23:47:37
100,1,R05-S20,STANDARD,1199.0,AVAILABLE,2024-01-24 17:38:24
101,1,R06-S01,STANDARD,1199.0,AVAILABLE,2024-05-23 02:33:50
102,1,R06-S02,STANDARD,1199.0,AVAILABLE,2024-11-18 16:28:04
103,1,R06-S03,STANDARD,1199.0,AVAILABLE,2024-11-11 13:13:34
104,1,R06-S04,STANDARD,1199.0,AVAILABLE,2025-07-27 14:00:11
105,1,R06-S05,STANDARD,1199.0,AVAILABLE,2025-07-14 08:13:35
106,1,R06-S06,STANDARD,1199.0,SOLD,2024-10-18 20:21:07
107,1,R06-S07,STANDARD,1199.0,AVAILABLE,2025-07-22 13:35:39
108,1,R06-S08,STANDARD,1199.0,SOLD,2024-12-16 00:24:57
109,1,R06-S09,STANDARD,1199.0,SOLD,2025-02-10 08:22:07
110,1,R06-S10,STANDARD,1199.0,AVAILABLE,2024-08-07 09:01:06
111,1,R06-S11,STANDARD,1199.0,AVAILABLE,2024-08-27 14:53:22
112,1,R06-S12,STANDARD,1199.0,AVAILABLE,2025-08-17 11:03:41
113,1,R06-S13,STANDARD,1199.0,AVAILABLE,2025-08-21 19:24:25
